Order,praatword,distance,surprisal
1085,seen,16,4.239302
1086,she,15,6.791197
1087,found,18,5.560853
1088,herself,18,3.340142
1089,in,19,2.402250
1090,a,7,1.379943
1091,long,14,5.975219
1092,low,14,7.387262
1093,hall,14,9.475696
1094,which,14,6.586577
1095,was,16,1.366292
1096,lit,17,7.227403
1097,up,18,1.367880
1098,by,19,1.294435
1099,a,7,1.373917
1100,row,20,7.958770
1101,of,20,1.332982
1102,lamps,21,11.750721
1103,hanging,22,7.354754
1104,from,23,2.769142
1105,the,9,0.902631
1106,roof,25,4.601068
1107,there,9,4.681178
1108,were,10,2.277978
1109,doors,10,11.332896
1110,all,12,7.212090
1111,round,14,7.895665
1112,the,8,2.060278
1113,hall,13,6.228068
1114,but,14,3.802532
1115,they,9,2.176446
1116,were,10,1.622847
1117,all,9,4.073145
1118,locked,12,7.530296
1119,and,12,4.100052
1120,when,13,5.943148
1121,alice,14,9.228774
1122,had,12,4.198378
1123,been,14,2.091035
1124,all,13,7.626550
1125,the,9,2.522464
1126,way,14,4.030931
1127,down,14,5.681036
1128,one,12,6.192865
1129,side,16,3.225762
1130,and,16,4.677529
1131,up,16,7.889610
1132,the,12,4.113303
1133,other,18,4.135879
1134,trying,18,10.086476
1135,every,18,11.050336
1136,door,18,5.709680
1137,she,16,3.423141
1138,walked,20,4.756892
1139,sadly,20,11.290235
1140,down,14,5.271465
1141,the,8,0.897016
1142,middle,14,5.031409
1143,wondering,14,9.519743
1144,how,10,2.017352
1145,she,16,2.644348
1146,was,17,1.690550
1147,ever,17,6.761254
1148,to,16,4.092305
1149,get,21,3.338262
1150,out,22,3.272112
1151,again,22,6.213357
1152,suddenly,9,9.290483
1153,she,10,3.693006
1154,came,10,5.028741
1155,upon,11,6.749299
1156,a,7,2.523415
1157,little,13,5.253394
1159,legged,9,3.182830
1160,table,13,8.989260
1161,all,13,7.501619
1162,made,13,8.817097
1163,of,14,2.556379
1164,solid,15,8.702564
1165,glass,16,6.508887
1166,there,16,8.463895
1167,was,17,3.994400
1168,nothing,15,3.675788
1169,on,16,4.243791
1170,it,17,3.397685
1171,except,18,6.970290
1172,a,7,2.971296
1173,tiny,18,6.606647
1174,golden,18,8.413919
1175,key,18,11.710352
1176,and,18,3.532218
1177,Alice's,18,3.318452
1178,first,18,5.604268
1179,thought,14,6.915068
1180,was,14,1.214659
1181,that,13,3.467053
1182,it,14,2.896837
1183,might,17,4.328015
1184,belong,17,7.966127
1185,to,17,0.215670
1186,one,14,4.917553
1187,of,19,0.940526
1188,the,7,0.582902
1189,doors,21,9.227820
1190,of,21,2.073976
1191,the,8,0.640271
1192,hall,23,7.300935
1193,but,23,5.465911
1194,alas,18,11.412865
1195,either,9,9.078453
1196,the,7,2.540252
1197,locks,10,11.572668
1198,were,10,2.143151
1199,too,11,4.944987
1200,large,12,3.767546
1201,or,12,3.631387
1202,the,8,2.146100
1203,key,13,7.424644
1204,was,12,1.851134
1205,too,11,6.131288
1206,small,12,3.598803
1207,but,12,4.321464
1208,at,9,5.558825
1209,any,13,5.412925
1210,rate,14,4.480712
1211,it,14,2.605899
1212,would,17,2.455149
1213,not,17,2.588370
1214,open,17,7.028567
1215,any,18,5.011708
1216,of,19,3.308974
1217,them,15,3.216024
1218,however,9,5.627935
